match_id,draw_number,feature_cutoff_date,league_external_id,p_home_market,p_draw_market,p_away_market,home_npxg_for,home_npxg_against,away_npxg_for,away_npxg_against,home_opponent_adjusted_attack,home_opponent_adjusted_defence,away_opponent_adjusted_attack,away_opponent_adjusted_defence,home_shot_quality_for,home_shot_quality_conceded,away_shot_quality_for,away_shot_quality_conceded,home_set_piece_attack,home_set_piece_defence,away_set_piece_attack,away_set_piece_defence,home_goalkeeper_prevention,away_goalkeeper_prevention,expected_home_goals,expected_away_goals,p_home_dc,p_draw_dc,p_away_dc,market_vs_dc_home,market_vs_dc_draw,market_vs_dc_away,attack_strength_difference,expected_goal_difference,expected_goal_total,market_balance,defence_strength_difference,favourite_strength,combined_draw_rate,combined_one_goal_match_rate,combined_close_match_rate,combined_low_scoring_rate,league_draw_rate,league_home_win_rate,league_away_win_rate,league_avg_goals,league_goal_std,league_favourite_win_rate,league_competitive_balance,league_avg_npxg,league_upset_rate,league_prior_weight,home_rest_days,away_rest_days,rest_day_difference,home_matches_last_14_days,away_matches_last_14_days,home_short_rest,away_short_rest,home_congestion,away_congestion,congestion_difference,home_extra_time_in_previous_match,away_extra_time_in_previous_match,extra_time_x_short_rest,fatigue_difference,home_advantage_log,home_advantage_coefficient,travel_distance_km,home_missing_player_value,away_missing_player_value,missing_value_difference,home_unavailable_count,away_unavailable_count,home_lineup_changes,away_lineup_changes,missing_value_x_favourite,short_rest_x_missing_value,congestion_x_squad_depth,short_rest_x_rotation,has_availability,label,match_date,blend_market_weight,blend_dc_weight,p_home_blend_pre_draw,p_draw_blend_pre_draw,p_away_blend_pre_draw,p_home_blend,p_draw_blend,p_away_blend,p_home_market_norm,p_draw_market_norm,p_away_market_norm,p_home_dc_norm,p_draw_dc_norm,p_away_dc_norm
2,4760,2022-09-17,39,0.6359302211409433,0.22074819170639642,0.14332158715266033,1.6714786935029775,0.950137340382684,1.0722324540508155,1.67775412690251,,,,,0.11510536317188695,0.0656214300213434,0.10839950375653726,0.14138776452742527,1.07768657981606,0.7784548701340263,0.8121371750892245,1.1051701886787881,4.1673778243674717e-05,-0.02317559580464777,3.7810180151617914,0.8749225942625093,0.8700284706173271,0.09152188951773846,0.03844963986493446,-0.2340982494763838,0.12922630218865797,0.10487194728772586,0.21082770073332835,2.784453351583842,4.47358286001739,0.49260863398828303,0.8460825117621993,0.6359302211409433,0.25,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.24553571428571427,0.4955357142857143,0.25892857142857145,2.9071428571428575,1.8211563105109954,0.55,0.4701231469939367,1.3416844283650748,0.44999999999999996,0.5535714285714286,14,13,1,1,1,0,0,0,0,0,0,0,0,1,0.4453253804027722,1.5609980313764953,,,,,1,2,,,,,0.0,0.0,1,1,2022-09-17,0.7,0.3,0.7061596959838584,0.181980301049799,0.11186000296634256,0.7061596959838584,0.181980301049799,0.11186000296634256,0.6359302211409433,0.22074819170639642,0.14332158715266033,0.8700284706173271,0.09152188951773846,0.03844963986493446
3,4760,2022-09-17,39,0.6614893515651055,0.2155414741054838,0.12296917432941064,1.607035295049865,1.2010378348662474,0.44008225849739563,1.662511127361508,,,,,0.1084006720078668,0.07544596171336178,0.0723732041638888,0.11715833627432415,1.0310132450675076,0.8096838121475738,0.849348894746817,1.0888318366729377,0.013689832137149215,-0.051921412131023005,2.627270450083695,0.4007624704219392,0.8375535216072556,0.13487951674418655,0.0275669616485577,-0.17606417004215014,0.08066195736129725,0.09540221268085294,0.9308884558852447,3.021158666812686,3.8975098230057177,0.5385201772356948,0.3346070805245509,0.6614893515651055,0.41666666666666663,0.16666666666666666,0.5833333333333334,0.5,0.24553571428571427,0.4955357142857143,0.25892857142857145,2.9071428571428575,1.8211563105109954,0.55,0.4701231469939367,1.3416844283650748,0.44999999999999996,0.5535714285714286,14,14,0,1,1,0,0,0,0,0,0,0,0,0,0.4458839319710981,1.5618701728203856,,,,,5,3,,,,,0.0,0.0,1,X,2022-09-17,0.7,0.3,0.7143086025777506,0.19134288689709464,0.09434851052515476,0.7143086025777506,0.19134288689709464,0.09434851052515476,0.6614893515651056,0.21554147410548383,0.12296917432941065,0.8375535216072558,0.13487951674418658,0.02756696164855771
4,4760,2022-09-17,180,0.3364804531852587,0.29313021075034806,0.3703893360643932,0.9878710604571176,1.3095037483167684,1.1957846819823876,1.8000765541903485,,,,,0.10433695196527956,0.11186861609123003,0.11370047376360114,0.15300480908094222,0.7535791269159038,1.2801860557435367,1.0354660084538292,0.9519419463621293,0.022133001595008958,-0.015449248898781704,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,-0.043964915268812466,-0.0489094017485151,0.09287431701732779,0.31889558225571624,0.5909772212570639,3.436132073075947,0.033908882879134516,0.06951927622510046,0.3703893360643932,0.2777777777777778,0.5833333333333333,0.8611111111111112,0.5,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0.22025608248340436,1.2463958698723083,,,,,6,4,,,,,0.0,0.0,1,X,2022-09-17,0.7,0.3,0.34966992776590244,0.3078030312749026,0.3425270409591949,0.34966992776590244,0.3078030312749026,0.3425270409591949,0.3364804531852587,0.29313021075034806,0.3703893360643932,0.3804453684540713,0.3420396124988632,0.2775150190470655
5,4760,2022-09-17,180,0.5812862268837979,0.23538504002208116,0.18332873309412087,1.2518680531603228,1.2093333088504328,1.5877648545355725,1.3693896815605924,,,,,0.1029122810459186,0.11483971913771512,0.13228927117461986,0.11069878616530457,1.1541222358037646,1.041202905002412,1.210753307771381,1.0758167949391024,0.01950689299978635,-0.00844296646962264,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,0.20084085842972677,-0.106654572476782,-0.09418628595294457,0.22881099836110663,0.26474779107598034,2.918861869999592,0.39795749378967704,0.06014466863516432,0.5812862268837979,0.3888888888888889,0.3333333333333333,0.7222222222222222,0.6111111111111112,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.3416844283650748,0.44999999999999996,0.375,4,3,1,1,2,0,1,0,0,0,0,0,0,1,-0.06851028006003204,0.9337838607000367,,,,,5,4,,,,,0.0,0.0,1,1,2022-09-17,0.7,0.3,0.52103396935488,0.2673814117651158,0.21158461888000427,0.52103396935488,0.2673814117651158,0.21158461888000427,0.5812862268837979,0.23538504002208116,0.18332873309412087,0.3804453684540713,0.3420396124988632,0.2775150190470655
6,4760,2022-09-17,180,0.3616261104673619,0.2974121282348397,0.34096176129779837,1.35379530744411,1.2894061917019728,1.0205618808380705,0.8981200895676075,,,,,0.11321944883215443,0.10489183271711947,0.09011382677023536,0.08983779725857315,0.9297687416192559,1.5956169863778848,0.8655461697938278,1.3279350746098582,0.006685950953312996,-0.03518556556380762,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,-0.018819257986709248,-0.044627484264023465,0.06344674225073293,0.26720297238216895,0.21488058024398526,3.8829464764538617,0.020664349169563556,0.1424328086182305,0.3616261104673619,0.1736111111111111,0.5902777777777778,0.7638888888888888,0.5208333333333333,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,0.9124411689736778,0.44999999999999996,0.375,4,4,0,2,2,0,0,0,0,0,0,0,0,0,-0.03171768985995786,0.9687800399061586,,,,,2,5,,,,,0.0,0.0,1,1,2022-09-17,0.7,0.3,0.3672718878633747,0.31080037351404677,0.3219277386225785,0.3672718878633747,0.31080037351404677,0.3219277386225785,0.3616261104673619,0.2974121282348397,0.34096176129779837,0.3804453684540713,0.3420396124988632,0.2775150190470655
7,4760,2022-09-17,180,0.4169177243483838,0.29376664269470737,0.28931563295690876,1.2137578099388944,1.0255784566363901,0.9378424853910501,1.2417898662251954,,,,,0.09485355801825428,0.08807192321102751,0.08292481539141634,0.10753536459877379,1.2559427157651786,0.852486910620738,0.878859067957043,0.7649098762949803,-0.031804422566305564,0.005417494838922086,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,0.036472355894312636,-0.048272969804155796,0.011800613909843327,0.36912824440449044,0.8140164075503635,3.80919914300215,0.12760209139147505,0.15828869468577955,0.4169177243483838,0.2222222222222222,0.4444444444444444,0.6666666666666667,0.5555555555555556,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,0.9124411689736778,0.44999999999999996,0.375,3,4,-1,2,2,1,0,0,0,0,0,0,0,-1,-0.015106196879768245,0.9850073293435943,,,,,4,4,,,,,0.0,0.0,1,1,2022-09-17,0.7,0.3,0.40597601758009,0.3082485336359541,0.2857754487839558,0.40597601758009,0.3082485336359541,0.2857754487839558,0.41691772434838387,0.2937666426947074,0.2893156329569088,0.3804453684540713,0.3420396124988632,0.2775150190470655
8,4760,2022-09-17,180,0.4684250717488627,0.2753853447745475,0.2561895834765898,1.0932829923346012,1.3901385373362787,1.0602933867102688,1.6692046360748123,,,,,0.08501023952998739,0.10089610986641448,0.10175001211809451,0.11769974832619125,0.7722716151456995,0.9181821876322239,1.0133530835662634,1.5800950191962762,0.013133603848775183,0.006384652336610552,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,0.08797970329479154,-0.06665426772431565,-0.021325435570475615,0.1831654827753496,0.768055995590667,3.44617772004289,0.2122354882722729,0.2904988532303916,0.4684250717488627,0.16666666666666666,0.3888888888888889,0.5555555555555556,0.7222222222222222,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0.2397687986641531,1.2709552697937505,,,,,3,5,,,,,0.0,0.0,1,1,2022-09-17,0.7,0.3,0.44203116076042526,0.2953816250918422,0.2625872141477325,0.44203116076042526,0.2953816250918422,0.2625872141477325,0.4684250717488627,0.2753853447745475,0.2561895834765898,0.3804453684540713,0.3420396124988632,0.2775150190470655
9,4760,2022-09-17,180,0.3894807848739162,0.28484415610181935,0.3256750590242644,1.5224955624997352,1.0482215894541684,1.3582969983524842,0.8593265735041529,,,,,0.10230924643569819,0.10290978898314075,0.10008653870564158,0.11939712814680743,0.968998081465916,0.6930754798018832,1.145227113449532,1.3636708449840933,0.00845440943296791,-0.024988200826002508,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,0.00903541641984501,-0.05719545639704382,0.048160039977198976,0.0689034790772105,0.227734193907962,2.8147198343182285,0.06380572584965177,0.3018730651917394,0.3894807848739162,0.38888888888888884,0.4444444444444444,0.8333333333333333,0.5,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,1,1,1,0,0,0,0,0,0,0,0.24675323979952765,1.2798632544959896,,,,,7,4,,,,,0.0,0.0,1,X,2022-09-17,0.7,0.3,0.38677015994796277,0.3020027930209325,0.31122704703110476,0.38677015994796277,0.3020027930209325,0.31122704703110476,0.38948078487391624,0.2848441561018194,0.32567505902426447,0.3804453684540713,0.3420396124988632,0.2775150190470655
10,4760,2022-09-17,180,0.30320960878841097,0.2920826506677353,0.40470774054385367,1.024467201930267,0.9981542620122742,1.4165603323977982,0.8625816168343499,,,,,0.09485969859924334,0.07875566471596522,0.10366035223893184,0.10154558524617786,0.667904463560156,0.6710866241594202,0.76801414280415,0.9603565800056334,0.024873757538534574,0.011781238898130778,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,-0.07723575966566021,-0.049956961831127855,0.12719272149678823,0.03623911327206797,0.2489918786578238,2.3200957540968306,0.1014981317554427,0.024318836870045102,0.40470774054385367,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0.25456792952451673,1.2899041709442667,,,,,0,8,,,,,0.0,0.0,1,2,2022-09-17,0.7,0.3,0.32638033668810906,0.3070697392170737,0.3665499240948172,0.32638033668810906,0.3070697392170737,0.3665499240948172,0.30320960878841097,0.2920826506677353,0.40470774054385367,0.3804453684540713,0.3420396124988632,0.2775150190470655
11,4760,2022-09-17,180,0.4008273579702151,0.2822393822393823,0.31693325979040265,1.0265312188835076,1.0288889059151627,1.2134745057744596,1.2491037858384497,,,,,0.0876137138318481,0.10246198838579251,0.08869641972612637,0.10645116966567325,0.7516248627052342,0.8992236190631346,1.1601580667695202,1.0126276553822717,0.0070073033051766655,-0.017716638620953216,1.2050688514993189,1.0,0.3804453684540712,0.34203961249886317,0.27751501904706544,0.02038198951614395,-0.05980023025948089,0.03941824074333722,0.07704114854906163,0.34723512211849594,2.615769253169966,0.08389409817981247,0.06024425583921911,0.4008273579702151,0.2222222222222222,0.4444444444444444,0.6666666666666667,0.5555555555555556,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,4,-1,2,2,1,0,0,0,0,0,0,0,-1,0.24042541177780696,1.2717900697310647,,,,,5,2,,,,,0.0,0.0,1,X,2022-09-17,0.7,0.3,0.39471276111537196,0.30017945131722656,0.3051077875674015,0.39471276111537196,0.30017945131722656,0.3051077875674015,0.4008273579702151,0.2822393822393823,0.31693325979040265,0.3804453684540713,0.3420396124988632,0.2775150190470655
