key,team_name
1578,UCD
1627,Finn Harps
1578,UCD
1627,Finn Harps
1627,Finn Harps
1578,UCD
1578,UCD
1627,Finn Harps
1627,Finn Harps
1578,UCD
1627,Finn Harps
1627,Finn Harps
1578,UCD
1578,UCD
1627,Finn Harps
1578,UCD
1627,Finn Harps
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
1578,UCD
2201,Cork City
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
2201,Cork City
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
1578,UCD
1578,UCD
1578,UCD
2201,Cork City
1578,UCD
2201,Cork City
2201,Cork City
1578,UCD
1578,UCD
1578,UCD
2201,Cork City
2201,Cork City
1578,UCD
2201,Cork City
2201,Cork City
1578,UCD
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
246185,FC Edmonton
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
