external_id,name
530,Juventude
299,Bragantino
332,Goianiense
504,Skövde AIK
506,Linköping
537,Kristianstad
7149,IK Kongahälla
4193,Panama
668,Uruguay
705,Peru
714,Chile
3809,Laholm
3808,Simrishamn
615,Berga
607,IFK Hässleholm
3534,Kopavogur
174,Inter Miami
381,Toronto FC
576,Columbus Crew
324,Vancouver Whitecaps
185,CF Montreal
187,DC United
184,New York Red Bulls
434,Philadelphia Union
492,Sandefjord
852,KFUM Oslo
490,Kristiansund
534,Seattle Sounders
554,Austin FC
535,Minnesota United
380,Houston Dynamo
335,Örgryte
271,Örebro
6808,Ekenas Idrottsforening
544,Vikingur
6982,IF Vestri
3966,Moss
917,Raufoss
1009,IK Start
176,Grasshoppers
553,Lugano
412,Midtjylland
458,Nordsjälland
577,Basel
177,Luzern
551,Lausanne
552,Sion
1022,St. Truidense
340,Anderlecht
1004,OH Leuven
7429,Beerschot
238,Helsingborg
461,Aalborg
314,Porto
171,Sporting Lissabon
331,Besiktas
417,Galatasaray
322,Servette
397,Motherwell
1010,Westerlo
374,Mechelen
426,Genk
375,Charleroi
22,Lettland
721,Malta
722,Polen
131,Doncaster
336,Öster
250,Strasbourg
312,Vitória de Guimarães
148,Stuttgart
240,Union Berlin
320,Hamburg
499,Schalke 04
1061,Lecce
473,Le Havre
159,Saint Etienne
217,Royal Antwerp
512,Hässleholms IF
9037,Åstorps FF
357,GIF Sundsvall
263,Umeå
568,Husqvarna
3964,Hödd
853,Sogndal
4363,Georgien
4360,Frankrike
5051,Polen
801,Portugal
1294,Slovakien
4362,Rumänien
4361,Spanien
309,Team TG
4303,IFK Skövde
851,Ranheim
9202,FF Jaro
909,Frankrike
863,Nederländerna
905,Wales
907,Tyskland
897,Sverige
858,Danmark
288,Polen
197,Botafogo RJ
4443,Mirassol
501,St. Gallen
373,Young Boys
1547,Barnet
125,Oldham
591,Pisa
351,Udinese
396,Dundee U
1606,Falkirk
9635,Raal La Louviere
1019,Standard Liege
166,Twente
349,Elche
211,Rayo Vallecano
496,Como
6878,IF Gnistan
11255,TPS
294,Paranaense
706,Nya Zeeland
741,Egypten
734,Australien
737,Venezuela
700,Luxemburg
7775,Castellón
1480,Qatar
4397,Haiti
761,Elfenbenskusten
3408,Curacao
669,Ecuador
747,Tunisien
708,Saudiarabien
711,Iran
16,Kap Verde
