match_id,draw_number,feature_cutoff_date,p_home_market,p_draw_market,p_away_market,home_npxg_for,home_npxg_against,away_npxg_for,away_npxg_against,home_opponent_adjusted_attack,home_opponent_adjusted_defence,away_opponent_adjusted_attack,away_opponent_adjusted_defence,home_shot_quality_for,home_shot_quality_conceded,away_shot_quality_for,away_shot_quality_conceded,home_set_piece_attack,home_set_piece_defence,away_set_piece_attack,away_set_piece_defence,home_goalkeeper_prevention,away_goalkeeper_prevention,expected_home_goals,expected_away_goals,p_home_dc,p_draw_dc,p_away_dc,market_vs_dc_home,market_vs_dc_draw,market_vs_dc_away,attack_strength_difference,expected_goal_difference,expected_goal_total,market_balance,defence_strength_difference,favourite_strength,combined_draw_rate,combined_one_goal_match_rate,combined_close_match_rate,combined_low_scoring_rate,league_draw_rate,league_home_win_rate,league_away_win_rate,league_avg_goals,league_goal_std,league_favourite_win_rate,league_competitive_balance,league_avg_npxg,league_upset_rate,league_prior_weight,home_rest_days,away_rest_days,rest_day_difference,home_matches_last_14_days,away_matches_last_14_days,home_short_rest,away_short_rest,home_congestion,away_congestion,congestion_difference,home_extra_time_in_previous_match,away_extra_time_in_previous_match,extra_time_x_short_rest,fatigue_difference,home_advantage_log,home_advantage_coefficient,travel_distance_km,label,match_date,p_home_blend,p_draw_blend,p_away_blend,p_home_market_norm,p_draw_market_norm,p_away_market_norm,p_home_dc_norm,p_draw_dc_norm,p_away_dc_norm
2,4760,2022-09-17,0.6359302211409433,0.22074819170639642,0.14332158715266033,1.6714786935029775,0.950137340382684,1.0722324540508155,1.67775412690251,,,,,0.11510536317188695,0.0656214300213434,0.10839950375653726,0.14138776452742527,1.07768657981606,0.7784548701340263,0.8121371750892245,1.1051701886787881,4.1673778243674717e-05,-0.02317559580464777,3.7799895401036,0.8798630440953185,0.8714588143119689,0.08746850475634486,0.041072680931686464,-0.2355285931710256,0.13327968695005155,0.10224890622097386,0.21082770073332835,2.6496936353854044,4.338823143818952,0.49260863398828303,0.8460825117621993,0.6359302211409433,0.25,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.24553571428571427,0.4955357142857143,0.25892857142857145,2.9071428571428575,1.8211563105109954,0.55,0.4701231469939367,1.3416844283650748,0.44999999999999996,0.5535714285714286,14,13,1,1,1,0,0,0,0,0,0,0,0,1,0.40748442433963594,1.5030320346352892,,1,2022-09-17,0.7065887990922509,0.18076428562138094,0.11264691528636817,0.6359302211409433,0.22074819170639642,0.14332158715266033,0.8714588143119687,0.08746850475634485,0.04107268093168646
3,4760,2022-09-17,0.6614893515651055,0.2155414741054838,0.12296917432941064,1.607035295049865,1.2010378348662474,0.44008225849739563,1.662511127361508,,,,,0.1084006720078668,0.07544596171336178,0.0723732041638888,0.11715833627432415,1.0310132450675076,0.8096838121475738,0.849348894746817,1.0888318366729377,0.013689832137149215,-0.051921412131023005,2.6081898780582917,0.3967692623499762,0.8397182864891739,0.12904041028264224,0.03124130322818388,-0.17822893492406844,0.08650106382284156,0.09172787110122677,0.9308884558852447,2.8908400335021756,3.767191189695207,0.5385201772356948,0.3346070805245509,0.6614893515651055,0.41666666666666663,0.16666666666666666,0.5833333333333334,0.5,0.24553571428571427,0.4955357142857143,0.25892857142857145,2.9071428571428575,1.8211563105109954,0.55,0.4701231469939367,1.3416844283650748,0.44999999999999996,0.5535714285714286,14,14,0,1,1,0,0,0,0,0,0,0,0,0,0.40748442433963594,1.5030320346352892,,X,2022-09-17,0.7149580320423261,0.18959115495863132,0.09545081299904261,0.6614893515651056,0.21554147410548383,0.12296917432941065,0.8397182864891739,0.12904041028264224,0.03124130322818388
4,4760,2022-09-17,0.3364804531852587,0.29313021075034806,0.3703893360643932,0.9878710604571176,1.3095037483167684,1.1957846819823876,1.8000765541903485,,,,,0.10433695196527956,0.11186861609123003,0.11370047376360114,0.15300480908094222,0.7535791269159038,1.2801860557435367,1.0354660084538292,0.9519419463621293,0.022133001595008958,-0.015449248898781704,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,-0.0537990868751545,-0.03012091661775501,0.08392000349290968,0.31889558225571624,0.6387935722236353,3.4839484240425183,0.033908882879134516,0.06951927622510046,0.3703893360643932,0.2777777777777778,0.5833333333333333,0.8611111111111112,0.5,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0.24372573566355235,1.2759943227580874,,X,2022-09-17,0.3526201792478051,0.30216648573567456,0.34521333501652035,0.3364804531852587,0.29313021075034806,0.3703893360643932,0.3902795400604133,0.32325112736810313,0.2864693325714836
5,4760,2022-09-17,0.5812862268837979,0.23538504002208116,0.18332873309412087,1.2518680531603228,1.2093333088504328,1.5877648545355725,1.3693896815605924,,,,,0.1029122810459186,0.11483971913771512,0.13228927117461986,0.11069878616530457,1.1541222358037646,1.041202905002412,1.210753307771381,1.0758167949391024,0.01950689299978635,-0.00844296646962264,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,0.19100668682338473,-0.08786608734602191,-0.10314059947736268,0.22881099836110663,0.17064400808906544,3.012965652986507,0.39795749378967704,0.06014466863516432,0.5812862268837979,0.3888888888888889,0.3333333333333333,0.7222222222222222,0.6111111111111112,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.3416844283650748,0.44999999999999996,0.375,4,3,1,1,2,0,1,0,0,0,0,0,0,1,0.0,1.0,,1,2022-09-17,0.5239842208367825,0.2617448662258877,0.2142709129373297,0.5812862268837979,0.23538504002208116,0.18332873309412087,0.3902795400604133,0.32325112736810313,0.2864693325714836
6,4760,2022-09-17,0.3616261104673619,0.2974121282348397,0.34096176129779837,1.35379530744411,1.2894061917019728,1.0205618808380705,0.8981200895676075,,,,,0.11321944883215443,0.10489183271711947,0.09011382677023536,0.08983779725857315,0.9297687416192559,1.5956169863778848,0.8655461697938278,1.3279350746098582,0.006685950953312996,-0.03518556556380762,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,-0.028653429593051283,-0.025838999133263374,0.05449242872631482,0.26720297238216895,0.15577693122973346,3.9420501254681133,0.020664349169563556,0.1424328086182305,0.3616261104673619,0.1736111111111111,0.5902777777777778,0.7638888888888888,0.5208333333333333,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,0.9124411689736778,0.44999999999999996,0.375,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0.0,1.0,,1,2022-09-17,0.3702221393452773,0.3051638279748187,0.3246140326799039,0.3616261104673619,0.2974121282348397,0.34096176129779837,0.3902795400604133,0.32325112736810313,0.2864693325714836
7,4760,2022-09-17,0.4169177243483838,0.29376664269470737,0.28931563295690876,1.2137578099388944,1.0255784566363901,0.9378424853910501,1.2417898662251954,,,,,0.09485355801825428,0.08807192321102751,0.08292481539141634,0.10753536459877379,1.2559427157651786,0.852486910620738,0.878859067957043,0.7649098762949803,-0.031804422566305564,0.005417494838922086,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,0.0266381842879706,-0.029484484673395706,0.0028463003854252156,0.36912824440449044,0.8492010940283812,3.8443838294801678,0.12760209139147505,0.15828869468577955,0.4169177243483838,0.2222222222222222,0.4444444444444444,0.6666666666666667,0.5555555555555556,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,0.9124411689736778,0.44999999999999996,0.375,3,4,-1,2,2,1,0,0,0,0,0,0,0,-1,0.0,1.0,,1,2022-09-17,0.4089262690619927,0.3026119880967261,0.28846174284128123,0.41691772434838387,0.2937666426947074,0.2893156329569088,0.3902795400604133,0.32325112736810313,0.2864693325714836
8,4760,2022-09-17,0.4684250717488627,0.2753853447745475,0.2561895834765898,1.0932829923346012,1.3901385373362787,1.0602933867102688,1.6692046360748123,,,,,0.08501023952998739,0.10089610986641448,0.10175001211809451,0.11769974832619125,0.7722716151456995,0.9181821876322239,1.0133530835662634,1.5800950191962762,0.013133603848775183,0.006384652336610552,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,0.07814553168844951,-0.04786578259355556,-0.030279749094893726,0.1831654827753496,0.7764102419602572,3.45453196641248,0.2122354882722729,0.2904988532303916,0.4684250717488627,0.16666666666666666,0.3888888888888889,0.5555555555555556,0.7222222222222222,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,2,1,1,0,0,0,0,0,0,0,0.24372573566355235,1.2759943227580874,,1,2022-09-17,0.44498141224232785,0.2897450795526142,0.26527350820505796,0.4684250717488627,0.2753853447745475,0.2561895834765898,0.3902795400604133,0.32325112736810313,0.2864693325714836
9,4760,2022-09-17,0.3894807848739162,0.28484415610181935,0.3256750590242644,1.5224955624997352,1.0482215894541684,1.3582969983524842,0.8593265735041529,,,,,0.10230924643569819,0.10290978898314075,0.10008653870564158,0.11939712814680743,0.968998081465916,0.6930754798018832,1.145227113449532,1.3636708449840933,0.00845440943296791,-0.024988200826002508,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,-0.0007987551864970244,-0.03840697126628373,0.039205726452780865,0.0689034790772105,0.2231356374178204,2.810121277828087,0.06380572584965177,0.3018730651917394,0.3894807848739162,0.38888888888888884,0.4444444444444444,0.8333333333333333,0.5,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,3,0,2,1,1,1,0,0,0,0,0,0,0,0.24372573566355235,1.2759943227580874,,X,2022-09-17,0.38972041142986535,0.2963662474817045,0.31391334108843016,0.38948078487391624,0.2848441561018194,0.32567505902426447,0.3902795400604133,0.32325112736810313,0.2864693325714836
10,4760,2022-09-17,0.30320960878841097,0.2920826506677353,0.40470774054385367,1.024467201930267,0.9981542620122742,1.4165603323977982,0.8625816168343499,,,,,0.09485969859924334,0.07875566471596522,0.10366035223893184,0.10154558524617786,0.667904463560156,0.6710866241594202,0.76801414280415,0.9603565800056334,0.024873757538534574,0.011781238898130778,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,-0.08706993127200224,-0.031168476700367764,0.11823840797237012,0.03623911327206797,0.2601588866938065,2.3089287460608476,0.1014981317554427,0.024318836870045102,0.40470774054385367,0.4444444444444444,0.3333333333333333,0.7777777777777778,0.7777777777777778,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0.24372573566355235,1.2759943227580874,,2,2022-09-17,0.32933058817001165,0.30143319367784566,0.36923621815214264,0.30320960878841097,0.2920826506677353,0.40470774054385367,0.3902795400604133,0.32325112736810313,0.2864693325714836
11,4760,2022-09-17,0.4008273579702151,0.2822393822393823,0.31693325979040265,1.0265312188835076,1.0288889059151627,1.2134745057744596,1.2491037858384497,,,,,0.0876137138318481,0.10246198838579251,0.08869641972612637,0.10645116966567325,0.7516248627052342,0.8992236190631346,1.1601580667695202,1.0126276553822717,0.0070073033051766655,-0.017716638620953216,1.2069013489780707,1.0,0.3902795400604132,0.3232511273681031,0.28646933257148355,0.010547817909801915,-0.0410117451287208,0.030463927218919107,0.07704114854906163,0.3521326364215138,2.620666767472984,0.08389409817981247,0.06024425583921911,0.4008273579702151,0.2222222222222222,0.4444444444444444,0.6666666666666667,0.5555555555555556,0.21875,0.45625,0.325,2.8325,1.6930100291131978,0.55,0.5386072511539343,1.1476593424730814,0.44999999999999996,0.375,3,4,-1,2,2,1,0,0,0,0,0,0,0,-1,0.24372573566355235,1.2759943227580874,,X,2022-09-17,0.39766301259727455,0.2945429057779985,0.30779408162472693,0.4008273579702151,0.2822393822393823,0.31693325979040265,0.3902795400604133,0.32325112736810313,0.2864693325714836
