match_id,draw_number,feature_cutoff_date,p_home_market,p_draw_market,p_away_market,home_npxg_for,home_npxg_against,away_npxg_for,away_npxg_against,home_opponent_adjusted_attack,home_opponent_adjusted_defence,away_opponent_adjusted_attack,away_opponent_adjusted_defence,home_shot_quality_for,home_shot_quality_conceded,away_shot_quality_for,away_shot_quality_conceded,home_set_piece_attack,home_set_piece_defence,away_set_piece_attack,away_set_piece_defence,home_goalkeeper_prevention,away_goalkeeper_prevention,expected_home_goals,expected_away_goals,p_home_dc,p_draw_dc,p_away_dc,market_vs_dc_home,market_vs_dc_draw,market_vs_dc_away,attack_strength_difference,expected_goal_difference,expected_goal_total,market_balance,defence_strength_difference,favourite_strength,combined_draw_rate,combined_one_goal_match_rate,combined_close_match_rate,combined_low_scoring_rate,league_draw_rate,league_home_win_rate,league_away_win_rate,league_avg_goals,league_goal_std,league_favourite_win_rate,league_competitive_balance,league_avg_npxg,league_upset_rate,league_prior_weight,home_rest_days,away_rest_days,rest_day_difference,home_matches_last_14_days,away_matches_last_14_days,home_short_rest,away_short_rest,home_congestion,away_congestion,congestion_difference,home_extra_time_in_previous_match,away_extra_time_in_previous_match,extra_time_x_short_rest,fatigue_difference,home_advantage_log,home_advantage_coefficient,travel_distance_km,label,match_date,p_home_blend,p_draw_blend,p_away_blend,p_home_market_norm,p_draw_market_norm,p_away_market_norm,p_home_dc_norm,p_draw_dc_norm,p_away_dc_norm
1786,4897,2025-04-19,0.23724092190349863,0.2664898026861217,0.4962692754103798,1.1157975913208538,1.104560349484186,2.151830137441169,1.1137833746773724,,,,,0.12606085220569152,0.09265741778054096,0.14360234956728787,0.12590169419176517,1.0911159437484557,0.6539450122001683,0.9893577562748935,0.5929026784913043,0.007641143385060677,-0.003492196401137318,0.7533079642888248,1.7672223380535783,0.13917762034936104,0.2609535472436038,0.5998688324070347,0.09806330155413759,0.005536255442517901,-0.1035995569966549,0.3199557513360449,0.767245553137815,2.7209129655681035,0.25902835350688114,0.01662835655530548,0.4962692754103798,0.4,0.3,0.7,0.6,0.24927272727272726,0.4207272727272727,0.33,3.1247272727272724,1.666257012093751,0.55,0.5275099753213615,1.438730145280183,0.44999999999999996,0.9090909090909091,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0.06876832433619531,1.0711880122050732,,2,2025-04-19,0.20782193143725736,0.2648289260533664,0.5273491425093764,0.23724092190349863,0.2664898026861217,0.4962692754103798,0.1391776203493611,0.2609535472436039,0.5998688324070349
1787,4897,2025-04-19,0.628513831336096,0.21178183447194537,0.1597043341919588,1.1076804861508425,1.487127451302283,0.8021914790666413,1.8025069559623708,,,,,0.1050284799448024,0.10683122492595991,0.08695618294304827,0.14047882558959404,0.622651262806721,0.9204400398327889,0.7533129257993336,2.2376649963748134,0.0013850730773004307,-0.005506992573986522,1.975651887407984,0.8330676841180239,0.6263018943809844,0.23837384174701273,0.13532426387200272,0.002211936955111571,-0.02659200727506736,0.024380070319956093,0.06833821828992226,0.6939953768500151,2.444748916950667,0.4688094971441371,0.2808280510130259,0.628513831336096,0.2,0.44999999999999996,0.65,0.44999999999999996,0.24927272727272726,0.4207272727272727,0.33,3.1247272727272724,1.666257012093751,0.55,0.5275099753213615,1.438730145280183,0.44999999999999996,0.9090909090909091,6,7,-1,2,2,0,0,0,0,0,0,0,0,-1,0.06876832433619531,1.0711880122050732,,X,2025-04-19,0.6278502502495625,0.21975943665446557,0.15239031309597198,0.6285138313360958,0.21178183447194532,0.15970433419195879,0.6263018943809845,0.2383738417470128,0.13532426387200275
1788,4897,2025-04-19,0.7114260605130637,0.19110856919664654,0.09746537029028973,1.3246613027319711,0.7627310662687742,0.9231225709864662,1.0696364682624504,,,,,0.112262991784027,0.07600017111190649,0.08775191299886691,0.0931770688004495,2.4537367894270123,1.3749889516129123,0.7067485999570321,1.5295678683510505,0.048638948202000175,-0.005525326306746947,1.3935540264683293,1.0,0.44318510977584735,0.3034488909035118,0.2533659993206413,0.2682409507372163,-0.11234032170686525,-0.15590062903035157,0.19122100770999528,0.9993931365632,2.546254531988961,0.6139606902227739,0.07097776959149571,0.7114260605130637,0.3,0.55,0.8500000000000001,0.8,0.2656363636363636,0.46618181818181814,0.2681818181818182,2.468363636363636,1.459177778688848,0.55,0.6494719370696944,1.084311532480853,0.44999999999999996,0.9090909090909091,6,6,0,2,2,0,0,0,0,0,0,0,0,0,0.13017418729263652,1.1390267700352112,,1,2025-04-19,0.6309537752918988,0.22481066570870611,0.1442355589993952,0.7114260605130637,0.19110856919664654,0.09746537029028973,0.44318510977584713,0.3034488909035117,0.2533659993206412
1789,4897,2025-04-19,0.16942479237157798,0.22922177791448783,0.6013534297139341,0.9384282256654637,1.7558375241155253,1.2310346382358945,0.8313770340920908,,,,,0.10350030852793189,0.1269714582997994,0.12905342363672095,0.10190370516443327,3.0874074020846223,3.2780644184108954,1.6080084513811137,1.433297955346915,0.021517627346163255,-0.03189916975249492,0.8918115866627844,1.7661927560441002,0.17296701891227975,0.26106598068767506,0.5659670004000451,-0.0035422265407017706,-0.031844202773187225,0.03538642931388902,0.10389870077301011,1.6983143214030316,3.616789870305047,0.43192863734235615,0.5687948003619159,0.6013534297139341,0.3,0.3,0.6,0.45,0.2638181818181818,0.4334545454545455,0.30272727272727273,2.6374545454545455,1.6508605489066785,0.55,0.5804329628275161,0.952105407603085,0.44999999999999996,0.9090909090909091,7,5,2,2,2,0,0,0,0,0,0,0,0,2,0.0,1.0,,1,2025-04-19,0.17048746033378853,0.238775038746444,0.5907375009197674,0.16942479237157798,0.22922177791448783,0.6013534297139341,0.17296701891227978,0.2610659806876751,0.5659670004000452
1790,4897,2025-04-19,0.510324252178692,0.2967731804977624,0.19290256732354555,0.9689934245882897,1.0449342383766969,0.9271940552530071,1.5501292122586892,,,,,0.10808318467266376,0.08721884001491394,0.1294818925670869,0.11822778727506279,1.3155279377852416,0.8426005728397015,4.772782402103665,4.063769132300447,0.003717240210714533,-0.011344235132718152,1.2229451486413654,0.7939831047789347,0.44553851206197276,0.33082290221507665,0.22363858572295184,0.06478574011671928,-0.03404972171731424,-0.03073601839940629,0.294431356505767,0.9567849443127387,3.0690771633222527,0.3174216848551465,0.2032531739083725,0.510324252178692,0.30000000000000004,0.44999999999999996,0.75,0.6,0.2638181818181818,0.4334545454545455,0.30272727272727273,2.6374545454545455,1.6508605489066785,0.55,0.5804329628275161,1.0900068357155055,0.44999999999999996,0.9090909090909091,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0.20648607647403044,1.2293506172026538,,X,2025-04-19,0.49088853014367606,0.30698809701295654,0.20212337284336732,0.510324252178692,0.2967731804977624,0.19290256732354555,0.44553851206197215,0.3308229022150762,0.22363858572295153
1791,4897,2025-04-19,0.7303158401209747,0.15541121077774342,0.11427294910128193,2.0617290109387736,0.805579679013088,1.0536473107117057,0.8355213746528721,,,,,0.1310091564767686,0.11709796587622466,0.10762608915765294,0.10517352995475798,1.0145682594067744,0.8879854796101789,1.1578450644044733,0.5836453201533649,-0.0036334200784732913,-0.006385937563213156,2.9819363110372583,0.9258082173337865,0.7795512339255348,0.1422707436117816,0.07817802246268371,-0.0492353938045601,0.013140467165961817,0.036094926638598215,0.6369759269337222,1.383227668108625,3.233766346325698,0.6160428910196928,0.03730036433620587,0.7303158401209747,0.2,0.44999999999999996,0.65,0.5,0.2638181818181818,0.4334545454545455,0.30272727272727273,2.6374545454545455,1.6508605489066785,0.55,0.5804329628275161,1.0900068357155055,0.44999999999999996,0.9090909090909091,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0.20648607647403044,1.2293506172026538,,1,2025-04-19,0.7450864582623427,0.15146907062795487,0.10344447110970245,0.7303158401209747,0.15541121077774342,0.11427294910128193,0.7795512339255346,0.14227074361178157,0.0781780224626837
1792,4897,2025-04-19,0.6127281697089295,0.20912678835717816,0.17814504193389247,2.1443913028951083,1.0816629175958057,1.4257966614718838,1.430349004092366,,,,,0.1651238495016391,0.11607811042982438,0.1388172271008535,0.11101463175982607,1.4903480249674046,0.787325136726787,0.6848115763787215,0.9424486964141203,-0.0030895340753250016,0.03793635284341748,1.878580742214242,1.2318095509960545,0.511715363512737,0.25204648915514627,0.23623814733211693,0.10101280619619246,-0.04291970079796811,-0.05809310539822446,0.37066599616408014,1.5053162675259184,3.9015595616133796,0.43458312777503705,0.13043789571558873,0.6127281697089295,0.15000000000000002,0.4,0.55,0.44999999999999996,0.22745454545454544,0.4298181818181818,0.3427272727272727,2.8283636363636364,1.6589815603029996,0.55,0.5877706749507076,1.3472958835848368,0.44999999999999996,0.9090909090909091,7,7,0,2,2,0,0,0,0,0,0,0,0,0,0.12622533155154367,1.1345377866422517,,X,2025-04-19,0.5824243278500717,0.22200269859656857,0.19557297355335979,0.6127281697089295,0.20912678835717816,0.17814504193389247,0.5117153635127369,0.2520464891551462,0.23623814733211687
1793,4897,2025-04-19,0.17712946079708256,0.22505860901276373,0.5978119301901537,1.006886767051872,1.0592209058223008,2.3101998218966635,0.9741184211706451,,,,,0.09121621178835362,0.08327345669890836,0.15820146020455023,0.11924675487594731,0.8311670747448591,0.6912371657177669,2.366180080325357,1.023880277441937,0.0025015241637924,0.002827715364547361,0.8807079469789905,1.9858512643846888,0.14613949532408121,0.23522793054425606,0.6186325741316628,0.03098996547300134,-0.010169321531492331,-0.020820643941509176,0.9404525955750176,0.7277159880556525,3.9134080590629408,0.4206824693930711,0.2621514013975693,0.5978119301901537,0.25,0.45,0.7,0.3,0.2565454545454545,0.4334545454545455,0.31,2.681090909090909,1.6359287602814525,0.55,0.5449500777898253,1.1334280658118923,0.44999999999999996,0.9090909090909091,2,6,-4,3,2,2,0,0,0,0,0,0,0,-4,0.5379398737126092,1.7124753103091832,,2,2025-04-19,0.16783247115518218,0.22810940547221145,0.6040581233726064,0.17712946079708256,0.22505860901276373,0.5978119301901537,0.14613949532408121,0.23522793054425606,0.6186325741316628
1794,4897,2025-04-19,0.31324509527832534,0.27353797052473483,0.41321693419693983,1.0728803529949067,1.510916308387609,1.6517581113590842,1.5688201986942156,,,,,0.09341451174465902,0.12178104743017977,0.1490729720161212,0.12435960730015683,1.4104210269273445,1.0809750528861433,1.301716618457333,1.0957199815869771,0.0016029929841218187,-0.011214121588074465,0.9247135626160884,1.595721657373469,0.20291807638165002,0.2816117661556769,0.515470157462673,0.11032701889667532,-0.008073795630942071,-0.10225322326573316,0.2988735740056324,0.3785918757556148,2.8938404791070753,0.0999718389186145,0.01691668430780713,0.41321693419693983,0.25,0.55,0.8,0.35,0.25836363636363635,0.4170909090909091,0.3245454545454545,3.090181818181818,1.7493340696845037,0.55,0.5468871007014342,1.5553720563271622,0.44999999999999996,0.9090909090909091,7,6,1,2,2,0,0,0,0,0,0,0,0,1,0.13072381381853265,1.1396529814371628,,X,2025-04-19,0.2801469896093227,0.2759601092140175,0.4438929011766598,0.31324509527832534,0.27353797052473483,0.41321693419693983,0.20291807638165005,0.28161176615567696,0.5154701574626731
1795,4897,2025-04-19,0.28057840275935264,0.21199257097373309,0.5074290262669143,1.3447232864581857,1.6407923713529506,1.6827836384918526,1.33960682322194,,,,,0.10295611438952747,0.13712535413568214,0.11949899760485988,0.1040778248341371,0.8336283424215761,1.3077688196866146,2.3234691304602033,1.1688632185291195,0.019611399795786293,0.0012524208299506297,1.510736197792257,2.2050946099522384,0.25119691610141415,0.22495816230707444,0.5238449215915111,0.029381486657938494,-0.012965591333341353,-0.016415895324596752,0.05808629860571424,0.5040368258644576,3.8380130966356276,0.2268506235075617,0.20409921837257594,0.5074290262669143,0.2,0.35,0.55,0.35,0.25836363636363635,0.42254545454545456,0.3190909090909091,3.006545454545454,1.762038626256225,0.55,0.6293509557782718,1.384063619728634,0.44999999999999996,0.9090909090909091,6,8,-2,2,2,0,0,0,0,0,0,0,0,-2,0.1628833139899346,1.17689935398618,,X,2025-04-19,0.2717639567619711,0.21588224837373549,0.5123537948642934,0.28057840275935264,0.21199257097373309,0.5074290262669143,0.25119691610141426,0.22495816230707452,0.5238449215915113
