feature,importance_abs_train_coef,train_coef,validation_coef,stable
market_balance,0.16524631299488027,-0.16524631299488027,0.0,False
away_npxg_for,0.1400583107861579,-0.1400583107861579,0.04582277156594791,False
home_advantage_log,0.07350670659551001,-0.07350670659551001,0.055486088312490106,False
away_short_rest,0.06354678233062948,0.06354678233062948,0.02809166709248752,True
rest_day_difference,0.05971637055087639,-0.05971637055087639,-0.06538253696558628,True
market_vs_dc_draw,0.051755354941701706,0.051755354941701706,0.0,False
home_short_rest,0.04729183320860415,0.04729183320860415,0.0,False
home_npxg_against,0.04664536269323914,-0.04664536269323914,-0.022679446601529898,True
home_npxg_for,0.04404274141858694,-0.04404274141858694,0.0,False
away_npxg_against,0.0398954318868313,0.0398954318868313,0.0,False
expected_goal_total,0.036657072838632246,-0.036657072838632246,0.12195421507269565,False
combined_one_goal_match_rate,0.03195572042680121,0.03195572042680121,0.0,False
league_draw_rate,0.03088430840757361,-0.03088430840757361,-0.04763776551036379,True
combined_low_scoring_rate,0.030237920436618472,-0.030237920436618472,-0.019153557616861376,True
congestion_difference,0.016774736006376814,0.016774736006376814,-0.0879812980409103,False
p_draw_blend,0.014419935677968156,0.014419935677968156,0.029051997924639392,False
league_avg_goals,0.013499156634527987,0.013499156634527987,0.0,False
combined_close_match_rate,0.0073900882269562745,0.0073900882269562745,-0.08524426502591756,False
league_competitive_balance,0.005419026118014,-0.005419026118014,-0.0649658186110573,True
combined_draw_rate,0.0,0.0,-0.019787920105128073,False
expected_goal_difference,0.0,0.0,-0.14132398563773538,False
favourite_strength,0.0,0.0,-0.11764921545485393,False
